item,brand,category
0,2429,0
1,2006,3
2,289,3
3,289,14
4,1929,3
5,884,3
6,823,3
7,2227,3
8,1282,3
9,1311,0
10,1479,8
11,1479,0
12,1479,0
13,1858,8
14,1479,0
15,131,0
16,131,0
17,131,0
18,302,0
19,302,3
20,302,0
21,302,3
22,302,3
23,302,3
24,1274,0
25,2539,6
26,1553,8
27,302,3
28,302,3
29,1479,0
30,380,0
31,380,0
32,1516,8
33,1274,3
34,1479,0
35,1301,6
36,1301,6
37,1301,6
38,1301,6
39,2103,6
40,2103,6
41,2007,0
42,1199,7
43,1578,3
44,1578,3
45,1366,0
46,1382,3
47,1544,0
48,1431,0
49,2435,3
50,387,1
51,387,1
52,1382,3
53,2032,6
54,603,3
55,1745,8
56,1745,6
57,480,1
58,480,1
59,480,1
60,535,8
61,2441,1
62,938,1
63,938,1
64,489,0
65,492,0
66,1392,3
67,985,5
68,985,5
69,2365,8
70,2489,0
71,2489,0
72,480,1
73,480,1
74,480,1
75,480,1
76,984,0
77,984,0
78,984,0
79,480,1
80,2432,3
81,2032,6
82,1479,0
83,1592,0
84,638,0
85,832,0
86,302,3
87,302,3
88,302,3
89,302,3
90,302,3
91,302,3
92,302,3
93,302,0
94,302,0
95,1301,6
96,58,3
97,58,3
98,2285,1
99,2285,1
100,2285,1
101,2285,1
102,2285,1
103,2285,1
104,2285,1
105,2285,1
106,162,3
107,412,0
108,2315,0
109,2315,0
110,398,3
111,398,0
112,2315,0
113,2315,0
114,2315,0
115,2315,0
116,2422,0
117,2315,0
118,399,3
119,399,3
120,2143,3
121,162,3
122,2315,3
123,2315,0
124,2315,0
125,2315,3
126,2143,3
127,79,3
128,1301,6
129,387,1
130,480,1
131,480,1
132,480,1
133,1515,3
134,985,5
135,1036,0
136,1762,1
137,1382,3
138,489,0
139,489,0
140,489,0
141,1382,3
142,387,1
143,480,1
144,1621,1
145,1621,1
146,1621,1
147,2476,3
148,982,0
149,1301,3
150,1301,3
151,535,8
152,535,8
153,535,8
154,2103,6
155,1301,6
156,1301,6
157,2060,0
158,1785,7
159,1392,3
160,1516,8
161,2103,6
162,1205,6
163,359,0
164,2103,8
165,1806,7
166,1806,7
167,1858,0
168,2242,3
169,359,7
170,2315,0
171,1392,3
172,1515,3
173,2103,1
174,1544,0
175,1621,1
176,1292,3
177,585,3
178,2103,1
179,1544,0
180,565,3
181,1172,2
182,1515,3
183,2032,6
184,2032,6
185,498,1
186,302,0
187,2007,8
188,14,3
189,14,3
190,14,3
191,463,0
192,302,0
