movie,genres,director,stars
0,2,0,0
1,1,1,1
2,4,2,2
3,4,3,3
4,4,4,4
5,5,5,5
6,4,6,6
7,1,7,7
8,0,8,8
9,0,9,9
10,4,10,10
11,4,11,11
12,2,12,12
13,18,13,13
14,0,14,14
15,5,15,15
16,7,16,16
17,4,17,17
18,1,18,18
19,0,19,19
20,4,20,20
21,7,21,21
22,0,22,22
23,7,23,23
24,7,24,24
25,7,25,25
26,4,26,26
27,7,27,27
28,8,28,28
29,5,29,29
30,18,30,30
31,12,31,31
32,4,32,32
33,5,33,33
34,4,34,34
35,4,35,35
36,7,36,36
37,7,37,37
38,0,38,38
39,18,39,39
40,0,40,40
41,4,41,41
42,4,42,42
43,5,43,43
44,2,44,44
45,7,45,45
46,5,46,46
47,4,47,47
48,7,48,48
49,4,49,49
50,7,50,50
51,4,51,51
52,18,52,52
53,7,53,53
54,5,54,54
55,7,55,55
56,4,56,56
57,4,57,57
58,4,58,58
59,0,59,59
60,4,60,60
61,4,61,61
62,0,62,62
63,0,63,63
64,4,64,64
65,7,65,65
66,7,66,66
67,4,67,67
68,10,68,68
69,6,69,69
70,7,70,70
71,5,71,71
72,7,72,72
73,5,73,73
74,4,74,74
75,7,75,75
76,7,76,76
77,1,77,77
78,4,78,78
79,4,79,79
80,0,80,80
81,7,81,81
82,4,82,82
83,4,83,83
84,0,84,84
85,4,85,85
86,5,86,86
87,6,87,87
88,7,88,5
89,4,89,88
90,4,90,89
91,7,91,90
92,4,92,91
93,7,93,92
94,4,94,93
95,0,95,94
96,6,96,95
97,18,97,44
98,5,15,15
99,0,98,96
100,5,99,97
101,6,100,98
102,5,101,99
103,4,102,100
104,4,103,73
105,7,30,101
106,4,104,82
107,4,105,102
108,4,106,103
109,1,107,104
110,6,108,105
111,4,109,106
112,5,110,107
113,4,111,108
114,4,112,109
115,7,113,110
116,4,114,1
117,4,115,111
118,0,116,112
119,1,117,113
120,18,118,114
121,4,119,115
122,4,120,116
123,1,121,0
124,1,122,117
125,7,123,118
126,0,124,119
127,7,125,120
128,0,126,121
129,4,127,62
130,4,128,122
131,4,129,123
132,5,130,62
133,0,131,124
134,0,132,20
